date,artistName,trackName,msPlayed,endTime,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-02,The Misfits Podcast,Spotify Exclusive: why we shouldn't do a podcast with our viewers...,872021,00:43,41.4,39.0,44.1,0.189,191.1,11.6,1011.8
2021-01-02,The Misfits Podcast,Spotify Exclusive: why we shouldn't do a podcast with our viewers...,347434,00:49,41.4,39.0,44.1,0.189,191.1,11.6,1011.8
2021-01-02,Dayseeker,Crooked Soul - Single Version,200420,05:20,41.4,39.0,44.1,0.189,191.1,11.6,1011.8
2021-01-02,YUNGBLUD,acting like that (feat. Machine Gun Kelly),191066,07:48,41.4,39.0,44.1,0.189,191.1,11.6,1011.8
2021-01-02,blackbear,me & ur ghost,201398,07:51,41.4,39.0,44.1,0.189,191.1,11.6,1011.8
2021-01-02,girlfriends,California,163832,07:54,41.4,39.0,44.1,0.189,191.1,11.6,1011.8
2021-01-02,brakence,dropout (w/ blackbear),90073,07:55,41.4,39.0,44.1,0.189,191.1,11.6,1011.8
2021-01-04,The Misfits Podcast,Spotify Exclusive: why we shouldn't do a podcast with our viewers...,1151345,04:44,39.9,35.1,45.0,0.307,142.4,4.5,1009.3
2021-01-04,The Misfits Podcast,#71 - A New Beginning...,0,04:44,39.9,35.1,45.0,0.307,142.4,4.5,1009.3
2021-01-04,Lunch Club Podcast,#25 - Schlatt is an Ebay Scam Artist,21119,04:45,39.9,35.1,45.0,0.307,142.4,4.5,1009.3
2021-01-04,Lunch Club Podcast,#20 - Carson eats his phone,79296,04:46,39.9,35.1,45.0,0.307,142.4,4.5,1009.3
2021-01-04,Kim Dracula,Paparazzi,73770,07:30,39.9,35.1,45.0,0.307,142.4,4.5,1009.3
2021-01-04,YUNGBLUD,charity,896,09:21,39.9,35.1,45.0,0.307,142.4,4.5,1009.3
2021-01-04,YUNGBLUD,superdeadfriends,140816,09:23,39.9,35.1,45.0,0.307,142.4,4.5,1009.3
2021-01-04,YUNGBLUD,charity,55185,09:24,39.9,35.1,45.0,0.307,142.4,4.5,1009.3
2021-01-04,INZO,Overthinker,155690,09:28,39.9,35.1,45.0,0.307,142.4,4.5,1009.3
2021-01-05,GOONS,#22 - The WORST Christmas Present,3505864,01:38,39.2,36.0,43.0,0.0,173.1,6.0,1021.2
2021-01-05,Machine Gun Kelly,bloody valentine,75968,20:06,39.2,36.0,43.0,0.0,173.1,6.0,1021.2
2021-01-05,All Time Low,"Dear Maria, Count Me In",103104,20:49,39.2,36.0,43.0,0.0,173.1,6.0,1021.2
2021-01-05,Sleep Deprived Podcast,Sleep Deprived Podcast #11,1409408,21:12,39.2,36.0,43.0,0.0,173.1,6.0,1021.2
2021-01-05,Sleep Deprived Podcast,Sleep Deprived Podcast #10,886591,21:27,39.2,36.0,43.0,0.0,173.1,6.0,1021.2
2021-01-05,Sleep Deprived Podcast,Sleep Deprived Podcast #10,585386,21:55,39.2,36.0,43.0,0.0,173.1,6.0,1021.2
2021-01-05,Sleep Deprived Podcast,Sleep Deprived Podcast #10,36480,22:10,39.2,36.0,43.0,0.0,173.1,6.0,1021.2
2021-01-06,Eminem,Discombobulated,205610,20:45,41.5,39.0,45.0,0.327,121.2,4.2,1019.4
2021-01-06,All Time Low,"Dear Maria, Count Me In",92672,21:13,41.5,39.0,45.0,0.327,121.2,4.2,1019.4
2021-01-07,Machine Gun Kelly,bloody valentine - Acoustic,0,22:32,38.1,32.0,41.0,0.091,16.5,0.9,1026.9
2021-01-07,All Time Low,"Dear Maria, Count Me In",39445,22:32,38.1,32.0,41.0,0.091,16.5,0.9,1026.9
2021-01-07,Machine Gun Kelly,Misery Business,125951,22:34,38.1,32.0,41.0,0.091,16.5,0.9,1026.9
2021-01-09,All Time Low,"Dear Maria, Count Me In",156470,09:42,36.3,30.9,39.9,0.0,108.5,1.4,1031.1
2021-01-09,Ansel Elgort,Supernova,191493,23:17,36.3,30.9,39.9,0.0,108.5,1.4,1031.1
2021-01-09,dempsey hope,roller rink,165093,23:20,36.3,30.9,39.9,0.0,108.5,1.4,1031.1
2021-01-09,YUNGBLUD,parents,171880,23:22,36.3,30.9,39.9,0.0,108.5,1.4,1031.1
2021-01-09,salem ilese,Mad at Disney,136838,23:25,36.3,30.9,39.9,0.0,108.5,1.4,1031.1
2021-01-09,Machine Gun Kelly,concert for aliens,160222,23:27,36.3,30.9,39.9,0.0,108.5,1.4,1031.1
2021-01-09,YUNGBLUD,acting like that (feat. Machine Gun Kelly),191066,23:31,36.3,30.9,39.9,0.0,108.5,1.4,1031.1
2021-01-09,blackbear,queen of broken hearts,171171,23:33,36.3,30.9,39.9,0.0,108.5,1.4,1031.1
2021-01-09,Call Me Karizma,Art Hoe,193125,23:37,36.3,30.9,39.9,0.0,108.5,1.4,1031.1
2021-01-09,Machine Gun Kelly,my ex's best friend (with blackbear),139460,23:39,36.3,30.9,39.9,0.0,108.5,1.4,1031.1
2021-01-09,24kGoldn,CITY OF ANGELS (feat. YUNGBLUD) - YUNGBLUD Remix,177138,23:42,36.3,30.9,39.9,0.0,108.5,1.4,1031.1
2021-01-09,Jack Kays,BOTTOM OF THE BOTTLE,51230,23:43,36.3,30.9,39.9,0.0,108.5,1.4,1031.1
2021-01-10,Sleep Deprived Podcast,Sleep Deprived Podcast #12,205190,03:58,35.8,30.9,41.0,0.0,20.3,1.2,1027.6
2021-01-10,Kayden,mr. nice guy,220500,23:12,35.8,30.9,41.0,0.0,20.3,1.2,1027.6
2021-01-10,Christian French,i think too much,202779,23:16,35.8,30.9,41.0,0.0,20.3,1.2,1027.6
2021-01-10,Machine Gun Kelly,can't look back,130312,23:18,35.8,30.9,41.0,0.0,20.3,1.2,1027.6
2021-01-10,Machine Gun Kelly,my ex's best friend (with blackbear),139460,23:20,35.8,30.9,41.0,0.0,20.3,1.2,1027.6
2021-01-10,blackbear,i feel bad,93619,23:22,35.8,30.9,41.0,0.0,20.3,1.2,1027.6
2021-01-11,blackbear,i feel bad,1493,19:19,39.0,36.0,44.1,0.039,3.1,1.2,1023.7
2021-01-12,blackbear,i feel bad,1770,19:48,43.3,37.9,48.0,0.63,148.7,6.5,1013.0
2021-01-12,Machine Gun Kelly,title track,165967,23:59,43.3,37.9,48.0,0.63,148.7,6.5,1013.0
2021-01-13,Machine Gun Kelly,banyan tree - interlude,55505,00:00,43.2,33.1,53.1,0.217,229.2,16.2,1017.5
2021-01-13,Machine Gun Kelly,can't look back,130312,07:00,43.2,33.1,53.1,0.217,229.2,16.2,1017.5
2021-01-13,Machine Gun Kelly,lonely,362029,07:06,43.2,33.1,53.1,0.217,229.2,16.2,1017.5
2021-01-13,Machine Gun Kelly,hangover cure,11661,07:06,43.2,33.1,53.1,0.217,229.2,16.2,1017.5
2021-01-14,Ricky Montgomery,Mr Loverman,16230,03:48,32.9,26.1,43.0,0.0,10.4,0.9,1035.6
2021-01-14,Machine Gun Kelly,can't look back,105860,03:50,32.9,26.1,43.0,0.0,10.4,0.9,1035.6
2021-01-14,All Time Low,"Dear Maria, Count Me In",163740,07:07,32.9,26.1,43.0,0.0,10.4,0.9,1035.6
2021-01-14,All Time Low,"Dear Maria, Count Me In",16370,07:46,32.9,26.1,43.0,0.0,10.4,0.9,1035.6
2021-01-14,All Time Low,"Dear Maria, Count Me In",1420,07:47,32.9,26.1,43.0,0.0,10.4,0.9,1035.6
2021-01-14,Annisokay,The Cocaines Got Your Tongue,38060,07:47,32.9,26.1,43.0,0.0,10.4,0.9,1035.6
2021-01-14,Akano,"Lifelight (From ""Super Smash Bros. Ultimate"")",840,07:47,32.9,26.1,43.0,0.0,10.4,0.9,1035.6
2021-01-14,AmaLee,Lifelight (from “Super Smash Bros. Ultimate”),156180,10:20,32.9,26.1,43.0,0.0,10.4,0.9,1035.6
2021-01-14,Eminem,Discombobulated,70912,21:37,32.9,26.1,43.0,0.0,10.4,0.9,1035.6
2021-01-14,Eminem,She Loves Me,11957,21:37,32.9,26.1,43.0,0.0,10.4,0.9,1035.6
